"glucuronide" "d1A1" "d1A2" "d1A3" "d1A4" "d1A6" "d1A7" "d1A8" "d1A9" "d1A10" "d1A11" "h1A1" "h1A3" "h1A4" "h1A5" "h1A6" "h1A7" "h1A8" "h1A9" "h1A10" "MW" "XLogP3" "HBDonor" "HBAccep" "RotB" "TopPSA" "HAC" "Complex"
"AED-3G" "AED-3G" "0,407193" "5,0147535" "4,032323333" "0,228521" "0" "12,71883333" "1,008033667" "1,247358" "2,149479333" "14,00081667" "0,888067" "1,107408667" "0" "0" "0" "0,077042933" "0,347299333" "0,365774" "21,09311333" "272,388" "4" 2 2 0 "40,5" 20 382
"AED-17G" "AED-17G" "0" "0,223488" "0,362621333" "0" "0" "0" "0,030624833" "0" "0,047036367" "0" "0" "0,496872333" "1,238905333" "0" "0" "0" "0" "0" "0" "272,388" "4" 2 2 0 "40,5" 20 382
"E2-3G" "E2-3G" "0,708644667" "6,794844" "4,118155667" "1,594932333" "0" "8,159740333" "4,652693333" "0,996215" "18,58655333" "27,69721333" "2,898200667" "0,796636667" "0" "0" "0" "0,065358033" "0,718529333" "0" "634,8384333" "272,388" "4" 2 2 0 "40,5" 20 382
"E2-17G" "E2-17G" "0" "0,281482333" "0,476867333" "0" "0" "0" "0" "0" "0" "0" "0" "0,605074667" "0,773748667" "0" "0" "0" "0" "0" "10,824744" "272,388" "4" 2 2 0 "40,5" 20 382
"EED-3G" "EED-3G" "2,071278667" "13,56882" "8,853480333" "0,797886" "0" "5,575690667" "3,123327" "0,775029667" "37,18281667" "50,86146" "14,60496" "0,663575" "0" "0" "0" "0" "0,857772667" "0,280494" "15,51706667" "296,41" "3,7" 2 2 1 "40,5" 22 505
"EED-17G" "EED-17G" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0,034138667" "0,797041" "0" "0" "0" "0" "0" "0" "296,41" "3,7" 2 2 1 "40,5" 22 505
"TS" "TS" "0" "0,185215" "0,130479333" "0,0117515" "0" "0" "0" "0" "0" "0" "0" "0,175134333" "0,396643" "0" "0" "0" "0,0980481" "0,084023733" "1,880171333" "288,431" "3,3" 1 2 0 "37,3" 21 508
"ETS" "ETS" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0,008019923" "0,299422" "0" "0" "0" "0" "0" "0" "288,431" "3,3" 1 2 0 "37,3" 21 508
"BIL" "BIL" "23,23764333" "0,155143" "0,245866667" "0,741196667" "0" "0" "0" "0" "0,610745667" "0,568045333" "134,3278" "0,278204" "0" "0" "0" "0" "0" "0" "0" "584,673" "2,9" 6 6 12 "164" 43 1340
"ETC" "ETC" "5,512216333" "16,93222" "10,33747667" "4,215296333" "0" "5,991594333" "2,435245333" "19,85879" "39,01961333" "354,4213" "18,16345" "11,97467667" "5,754194667" "1,689218" "11,29904" "309,6757" "37,57894" "2707,854" "96,25802667" "305,29" "2,1" 2 6 4 "130" 22 500
"IND" "IND" "2,038202" "83,93189333" "103,4047" "25,62769333" "0" "0,487419333" "0" "0,231315" "4,761675333" "3,438469667" "2,866604667" "8,713175667" "0" "0" "0" "3,257953" "3,29643" "37,4578" "160,7049667" "357,79" "4,3" 1 4 4 "68,5" 25 506
"DF" "DF" "2,904354667" "16,63721667" "32,76622667" "4,856246333" "0,541707667" "2,713802" "0,497947667" "0,184706333" "2,136964333" "4,404933667" "1,023027333" "7,312992" "0" "0" "1,622944667" "0,635031333" "0,764029333" "7,395365667" "146,3054333" "296,147" "4,4" 2 3 4 "49,3" 19 304
"DMED-G1" "DMED-G1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0,489024" "60,68572667" "0" "0" "0" "0" "0" "0" "200,285" "3,1" 1 1 2 "28,7" 15 205
"DMED-G2" "DMED-G2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1,102050667" "8,939917333" "0" "0" "0" "0" "0" "0" "200,285" "3,1" 1 1 2 "28,7" 15 205
"LMED-G1" "LMED-G1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0,422317" "6,272245667" "0" "0" "0" "0" "0" "0" "200,285" "3,1" 1 1 2 "28,7" 15 205
"LMED-G2" "LMED-G2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0,258438667" "5,357342333" "0" "0" "0" "0" "0" "0" "200,285" "3,1" 1 1 2 "28,7" 15 205
"RPRN" "RPRN" "1,118505" "1,647518" "1,470654333" "0,022708933" "0" "8,886649" "0,036183633" "0,0156492" "0,063737033" "0,161386667" "0" "0" "0" "0" "0" "0,052703267" "0" "1,696105" "20,66890333" "259,349" "3" 2 3 6 "41,5" 19 257
"SPRN" "SPRN" "0,006041463" "0,048523667" "0,031495267" "0,00258308" "0" "0,18439" "0" "0,028569433" "0,0265254" "0,319812667" "0" "0" "0" "0" "0" "0,136344" "0" "12,58628333" "3,425409667" "259,349" "3" 2 3 6 "41,5" 19 257
