	MW	XLogP3	HBDonor	HBAccep	RotB	TopPSA	HAC	Complex
4-MU	176,171	1,9	1	3	0	46,5	13	257
AED-3G	272,388	4	2	2	0	40,5	20	382
AED-17G	272,388	4	2	2	0	40,5	20	382
E2-3G	272,388	4	2	2	0	40,5	20	382
E2-17G	272,388	4	2	2	0	40,5	20	382
EED-3G	296,41	3,7	2	2	1	40,5	22	505
EED-17G	296,41	3,7	2	2	1	40,5	22	505
TS	288,431	3,3	1	2	0	37,3	21	508
ETS	288,431	3,3	1	2	0	37,3	21	508
BIL	584,673	2,9	6	6	12	164	43	1340
ETC	305,29	2,1	2	6	4	130	22	500
IND	357,79	4,3	1	4	4	68,5	25	506
DF	296,147	4,4	2	3	4	49,3	19	304
DMED-G1	200,285	3,1	1	1	2	28,7	15	205
DMED-G2	200,285	3,1	1	1	2	28,7	15	205
LMED-G1	200,285	3,1	1	1	2	28,7	15	205
LMED-G2	200,285	3,1	1	1	2	28,7	15	205
RPRN	259,349	3	2	3	6	41,5	19	257
SPRN	259,349	3	2	3	6	41,5	19	257
								
								
								
								
								
								
								
								
								
								
								
